participant_id,trial_id,chart_type,permuted,is_correct,response_time_ms
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-03,colorfield,permuted,False,12317.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-09,line chart,permuted,False,15720.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-08,colorfield,permuted,False,15196.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-02,line chart,permuted,False,9617.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-03,line chart,ordered,False,18818.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-05,colorfield,ordered,True,4943.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-06,colorfield,permuted,True,7327.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-05,colorfield,permuted,False,8312.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-05,line chart,ordered,True,14982.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-np-07,colorfield,ordered,False,5867.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-08,line chart,ordered,True,20724.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-np-00,line chart,ordered,False,14778.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-07,line chart,permuted,False,11445.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,line-p-06,line chart,permuted,False,22419.0
455d9f8f-8d6d-4e81-ba05-fb6c0ea99283,cf-p-04,colorfield,permuted,False,8878.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-04,colorfield,ordered,False,29360.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-03,line chart,permuted,True,11526.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-03,colorfield,ordered,False,6535.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-07,colorfield,ordered,False,10478.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-07,colorfield,permuted,False,14735.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-07,line chart,permuted,False,11795.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-02,colorfield,permuted,False,26774.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-01,colorfield,ordered,True,13328.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-06,colorfield,permuted,True,17348.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-03,colorfield,permuted,False,12001.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-05,line chart,permuted,False,7201.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-06,line chart,ordered,True,8914.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-01,line chart,ordered,True,5776.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-02,line chart,ordered,True,7273.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-09,line chart,permuted,False,13918.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-05,colorfield,permuted,False,8367.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-09,line chart,ordered,False,11345.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-08,line chart,permuted,False,6869.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-01,line chart,permuted,False,11013.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-00,colorfield,ordered,False,9232.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-06,colorfield,ordered,True,5269.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-05,colorfield,ordered,False,8898.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-np-09,colorfield,ordered,True,11477.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-08,colorfield,permuted,True,11704.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-00,line chart,permuted,False,13039.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-07,line chart,ordered,False,5908.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-03,line chart,ordered,True,9412.0
4bfefcaa-a537-4761-b09a-6142e11481de,cf-p-09,colorfield,permuted,True,11792.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-00,line chart,ordered,False,12423.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-04,line chart,ordered,True,6924.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-np-05,line chart,ordered,False,10558.0
4bfefcaa-a537-4761-b09a-6142e11481de,line-p-02,line chart,permuted,False,9676.0
